S.No,Voltage,Current,Ah,Wh,Power,Battery Temp,Time,Chamber Temp,SOC
0,27.19002,-1.8129,0.0,0.0,-49.292787258,25.3,0.0,25,100.0
1,27.19601,-1.83249,-5e-05,-0.00133,-49.836416365,25.3,0.095996261,25,99.99820402
2,27.18435,-1.85046,-0.0001,-0.00281,-50.303552301,25.3,0.202000514,25,99.99640805
3,27.19804,-1.85781,-0.00015,-0.00416,-50.528790692,25.3,0.297996774,25,99.99461207
4,27.20077,-1.86353,-0.00021,-0.00564,-50.689450918,25.3,0.403005257,25,99.9924569
5,27.19106,-1.86516,-0.00026,-0.00697,-50.71567747,25.3,0.49799569,25,99.99066092
6,27.19622,-1.86598,-0.00031,-0.00848,-50.747602596,25.3,0.604995713,25,99.98886494
7,27.19502,-1.86679,-0.00036,-0.00981,-50.767391386,25.31158367,0.699000433,25,99.98706897
8,27.19102,-1.86679,-0.00041,-0.01126,-50.759924226,25.31158367,0.801997259,25,99.98527299
9,27.18809,-1.86679,-0.00046,-0.0126,-50.754454531,25.31158367,0.89699775,25,99.98347701
10,27.18506,-1.34987,-0.00052,-0.01367,-36.696296942,25.31158367,1.001996174,25,99.98132184
11,27.20563,-1.35151,-0.00055,-0.0147,-36.768681001,25.31158367,1.10300146,25,99.98024425
12,27.1968,-1.34906,-0.00059,-0.01572,-36.690115008,25.31158367,1.203000918,25,99.97880747
13,27.21213,-1.34742,-0.00063,-0.01674,-36.666168205,25.31158367,1.303000376,25,99.97737069
14,27.20186,-1.34742,-0.00067,-0.01772,-36.652330201,25.31158367,1.398996636,25,99.97593391
15,27.1985,-1.34661,-0.0007,-0.01873,-36.625772085,25.31158367,1.498996094,25,99.97485632
16,27.19279,-1.34661,-0.00074,-0.0197,-36.618082942,25.31158367,1.593996584,25,99.97341954
17,27.205,-1.34661,-0.00078,-0.02077,-36.63452505,25.31158367,1.699005067,25,99.97198276
18,27.19351,-1.34661,-0.00082,-0.02174,-36.619052501,25.31158367,1.794005558,25,99.97054598
19,27.20588,-1.34742,-0.00085,-0.0228,-36.65774683,25.31158367,1.899003983,25,99.96946839
20,27.19108,-1.71,-0.00089,-0.02403,-46.4967468,25.31158367,1.994004473,25,99.96803161
21,27.1944,-1.71735,-0.00094,-0.02538,-46.70230284,25.31158367,2.097997069,25,99.96623563
22,27.18401,-1.72225,-0.00098,-0.02664,-46.817661222,25.31158367,2.194999158,25,99.96479885
23,27.20707,-1.7247,-0.00103,-0.02802,-46.924033629,25.31158367,2.301003411,25,99.96300287
24,27.19232,-1.72552,-0.00108,-0.02924,-46.920892006,25.31158367,2.394002303,25,99.9612069
25,27.19045,-1.72552,-0.00113,-0.03059,-46.917665284,25.31158367,2.498004958,25,99.95941092
26,27.19752,-1.72633,-0.00117,-0.03188,-46.951894702,25.31158367,2.596998587,25,99.95797414
27,27.18717,-1.72633,-0.00123,-0.03328,-46.934027186,25.31158367,2.70399861,25,99.95581897
28,27.19703,-1.72633,-0.00127,-0.03449,-46.9510488,25.31158367,2.796997502,25,99.95438218
29,27.18527,-1.72715,-0.00132,-0.03585,-46.95303908,25.31158367,2.901000157,25,99.95258621
30,27.19515,-1.76472,-0.00137,-0.03709,-47.991825108,25.31158367,2.993999049,25,99.95079023
31,27.18446,-1.89292,-0.00142,-0.0386,-51.458008023,25.31158367,3.100003302,25,99.94899425
